loan_number,application_date,lock_date,note_rate,LTV,CLTV,DTI,FICO,UW_system,funded_date,action_date,file_status,loan_program
10003278,20251102,11/22/2025,6.801%, 95.6 ,83.35, 39.6 ,664,DESKTOP UNDERWRITER,01/12/2026,,funded,F.H.A.
10031412,20240401,05/09/2024,6.68, 84.1 , 81.2 , 29.2 ,773,lpa,Jun 02 2024,NULL, Funded ,CONV30
10029513,03/23/23,05/03/2023,6.2,102.91,96.19,47.6,687,Loan Product Advisor,NA,2023-06-12,withdrawn,30yr fixed
10014890,2026-06-30,07/23/2026,4.53,66.96%,68.96,23.98,723,D.U.,08/24/2026,,funded,NA
10031594,20240804,Sep 06 2024,0.0862,96.27%, 98.2 ,30.372%,667,DU,10-24-2024,N/A,Closed/Funded,30yr fixed
10010677,04/03/23,04-28-2023,None,None,0.5219,47.21%,716,Loan Product Advisor,,2023-05-12,withdrawn,FHA 30YR
10012672,01/24/25,02/11/2025,8.17,84.97%,92.78%, 42.6 ,695,DESKTOP UNDERWRITER,04/23/25,NULL,Fund,F.H.A.
10032139,Jun 02 2026,20260717,4.27,62.072%,67.93,31.88%,834,LP,09/13/26,NA, Funded ,30 Year Conventional
10033656,03/25/2023,04/11/23,7.335%,61.711%,61.55,0.4962,735,D.U.,Jul 01 2023,NA,Closed/Funded,Conventional 30YR
10031655,Jan 27 2026,20260308,7.676%,47.890%,51.77,49.25,689,Desktop Underwriter,03/25/26,N/A,FUNDED,FHA
10019254,2024-09-20,10/13/24,5.94%,92.25%,99.97,0.3635,721,Desktop Underwriter,11/04/2024,NA,Funded,CONV30
10014363,07/20/24,08/11/24,7.603%,53.06,64.838%, 65.0 ,699,Man UW,NULL,Sep 10 2024,WD,F.H.A.
10012185,04-05-2025,05-01-2025,7.27,67.93%,65.85, 47.3 ,814,Desktop Underwriter,05/17/25,, Funded ,Conv 30
10032092,2024-11-14,2024-12-07,6.21%,53.01%,67.56%,29.49%,819,LP,12/31/24,,Funded,30yr fixed
10029407,11/11/24,11/22/24,6.37,68.74,73.57, 16.7 ,744,LP,01/13/25,NULL,FUNDED,Conv 30yr
10017013,04/26/2024,20240609,4.83%,0.8161,87.376%,0.3447,753,DESKTOP UNDERWRITER,20240902,NULL,Funded,Conventional 30YR
10046051,01-02-2025,02-02-2025, 6.5 ,70.24%,78.33, 41.7 ,801,lpa,Mar 04 2025,N/A,Funded,Conv 30yr
10015395,20260102,01/09/26,7.27,,93.470%,40.4,722,Manual,02-12-2026,NA,Funded,30 Year Conventional
10000305,Jul 10 2023,08/16/23,6.08, 92.5 ,96.034%,0.3287,752,lpa,2023-09-24,N/A,Fund,VA 30YR
10010884,05/12/2026,Jun 25 2026,5.676%,75.68%, 80.3 ,33.863%,674,Loan Prospector,08/25/2026,N/A,funded,F.H.A.
10025251,Oct 19 2025,Nov 20 2025,7.002%,0.7317,69.5,30.88,804,DU,12/09/25,,Funded,FHA 30YR
10022757,Apr 27 2025,06/06/25,4.96, 84.8 ,81.89%,30.17%,704,Manual,20250617,NULL,Fund,Jumbo
10000153,07-09-2023,Aug 23 2023,7.47%,150%,97.400%, 37.0 ,740,Manual,,20231028,WD, conventional 30 
10005863,2023-08-16,20230817,0.0632, 74.7 , 78.0 , 38.0 ,758,manual,,20231028,CANCELLED,Conv 30
10032857,06-29-2023,07-26-2023,6.21,68.12%, 61.7 ,29.62,776,lpa,08/21/23,NULL,Fund,Conv 30
10003446,11/26/24,20241229,6.804%,0.725,78.318%,55.87,753,DESKTOP UNDERWRITER,N/A,Mar 02 2025,Withdrawn,Conventional 30YR
10018674,2025-02-25,03/23/2025, 6.3 ,97.58,0.9592,49.859%,725,LP,20250415,None,Closed/Funded,Conv 30yr
10016421,10-20-2023,2023-10-27, 4.8 ,0.6713,73.51,26.37,658,DESKTOP UNDERWRITER,12/28/2023,, Funded ,Conv 30yr
10043750,10-02-2025,10/11/2025,0.0754,N/A, 43.2 ,50.61%,732,DESKTOP UNDERWRITER,,11/04/25,WD,Non-Conforming 30
10001419,08-30-2025,Sep 20 2025,5.89,64.230%, 66.0 ,44.62,665,LP,,11/17/25,Lock Expired,VA 30YR
10004703,2023-01-05,01/08/2023,6.61%,101.79%,1.0813,33.13,709,manual,03/30/23,N/A,FUNDED,30yr fixed
10015484,02/20/2026,03-12-2026,5.929%,87.86%,98.65,0.4699,772,du,May 14 2026,,funded,CONV30
10045565,2023-06-05,Jun 18 2023,5.28%, 97.7 , 99.4 , 32.1 ,695,Loan Product Advisor,,08/03/23,denied,CONV30
10005562,20240616,Jun 25 2024,7.17, 73.6 ,74.84%,30.882%,729,LPA,07/09/2024,NULL,Funded,15 Year Conventional
10031565,03/29/2026,Apr 01 2026, 5.7 ,68.39,69.49,19.871%,705,Desktop Underwriter,06/29/26,None,Closed/Funded,Conventional 30YR
10007375,01/11/2025,2025-02-04,6.08, 70.4 ,74.57,31.48%,670,manual underwriting,20250309,NULL,Fund,30 Year VA
10021024,09-15-2024,Oct 23 2024,7.060%,105.0,107.08, 15.8 ,783,D.U.,Jan 04 2025,,Fund,Conventional 15YR
10022202,May 25 2024,May 29 2024,5.97,74.42,84.55,31.945%,794,DU,Jul 06 2024,,FUNDED,30yr jumbo
10030611,2023-06-22,2023-07-21,4.77,68.38,74.0,0.2759,999,du,09/10/2023,N/A,funded,CONV30
10027654,Oct 11 2025,20251019,5.31,0.9233,92.98, 37.6 ,734, DU ,12/27/25,NULL,Funded, conventional 30 
10022640,Jul 15 2024,20240806,0.0781,0.5696,60.710%, 27.8 ,716,D.U.,2024-10-04,NULL,Closed/Funded,Conventional 30YR
10017803,Feb 17 2025,Mar 09 2025,6.31,69.008%,72.641%,30.62%,729,DU,05-19-2025,NULL,Closed/Funded,CONV30
10013730,12/17/2023,12/21/23,0.0538,29.46%,27.34,0.2998,806,LP,01/12/2024,,Fund,30 Year Conventional
10039060,04-06-2025,2025-04-29,5.97,88.11%, 88.3 ,39.956%,741,lpa,06/07/2025,,Fund, conventional 30 
10040752,10/23/24,Nov 29 2024,6.33,69.71%,73.96,26.02%,758,DESKTOP UNDERWRITER,2025-01-11,,funded,30yr fixed
10020413,20250514,Jun 20 2025,6.73%,0.7328,81.13,48.80%,669,Desktop Underwriter,2025-08-08,None,funded,CONV30
10035198,06/17/26,20260621,6.88,65.845%,56.71, 29.3 ,676,D.U.,08-10-2026,NA,Closed/Funded,FHA30
10030273,03-27-2024,04/30/2024,7.143%,96.19%,92.097%,51.85,640, LPA ,Jul 03 2024,NA,FUNDED,CONV30
10007816,Feb 01 2025,2025-02-15,6.77%,0.769, 76.1 ,55.6,767,Man UW,N/A,03/02/2025,Denied,Jumbo
10041111,20230820,09/24/23,7.05%,0.7142, 78.8 ,29.08,688, DU ,12/02/23,,FUNDED,30yr fixed
10028082,2024-04-24,2024-04-28,5.65%,76.36,82.714%,35.35,669,LPA,NULL,05/05/24,Credit Denied, conventional 30 
10010631,2024-07-02,Jul 19 2024,0.0598,58.063%,55.38,27.477%, 740 ,DU,2024-08-21,NULL,Funded,30 Year Conventional
10027919,Aug 06 2023,Aug 16 2023,6.47, 58.9 ,0.7269, 49.2 ,835,Man UW,None,20231016,EXP,FHA30
10010418,06/18/2025,20250801, 6.8 ,67.84,77.12,43.668%,774,Desktop Underwriter,08-11-2025,, Funded ,Conv 30
10042729,01/08/2023,02/21/23,0.068,94.7,104.1, 58.7 ,729,DESKTOP UNDERWRITER,04/20/23,N/A,Fund,Conv 30
10008257,02/20/23,Mar 25 2023,6.852%,62.61,65.80%,42.210%,850,D.U.,06-16-2023,NA,Fund,Conv 30
10044678,2023-01-09,Jan 23 2023,5.305%,73.237%,69.911%,12.05,829,du,20230213,NA,funded,CONV30
10008695,2023-09-06,Sep 13 2023,6.07%,84.25%,83.799%,33.63%,748,DESKTOP UNDERWRITER,2023-11-24,NULL,funded,30YR FHA
10006852,2025-04-18,May 29 2025,5.83,59.01,57.89,44.57%,711,LPA,Jun 14 2025,N/A,Funded,Conventional 30YR
10004727,11-28-2024,20250105, 5.5 , 55.8 ,0.5376,0.4018,728,LP,01/16/2025,N/A,FUNDED, conventional 30 
10003258,01/23/23,01/28/2023,5.31,93.71,103.99,46.237%,644,DESKTOP UNDERWRITER,20230320,NA, Funded , conventional 30 
10045477,11/21/23,20231229,5.85,67.18,74.5, 33.4 ,647,DESKTOP UNDERWRITER,Feb 17 2024,NA,Closed/Funded,Conv 30
10024986,12/18/2024,01/14/25, 8.4 ,80.127%,82.549%,24.96,685,LPA,2025-03-11,N/A, Funded ,FHA 30YR
10046199,03/01/23,03/28/2023,5.667%,41.412%,51.567%,34.91%,671,DESKTOP UNDERWRITER,06-08-2023,NULL,Funded,Conv 30
10014444,09/23/2025,10/13/2025,0.0602, 82.6 ,75.8, 40.2 ,645,Loan Prospector,12/30/2025,,Fund,Conv 30
10046267,07/11/24,20240731,3.73,1O5%,77.09%,19.24,824, LPA ,10-11-2024,NA,funded, conventional 30 
10037025,05/02/2026,06/04/26,6.392%,95.12,110.44, 34.3 ,681,Loan Prospector,07-11-2026,NULL,Fund,Conventional 15YR
10031724,2025-11-20,Dec 08 2025,0.0554,82.37%,82.92%,0.2011,693,manual underwriting,20260216,N/A,FUNDED,Conventional 15YR
10004833,Feb 22 2026,20260329,6.18,103.38%,103.474%,40.481%,725,DESKTOP UNDERWRITER,20260610,N/A,Closed/Funded,JUMBO30
10009318,07/17/24,Jul 29 2024,5.39,88.68,85.0,38.91,753,D.U.,NULL,08/03/2024,Withdrawn,F.H.A.
10006134,2025-06-30,07-30-2025,6.37,0.5408,0.4841,43.77,772,du,08-11-2025,N/A,Fund,VA 30YR
10016962,Jul 08 2025,2025-08-11,4.927%,-20%,0.9632, 39.1 ,718,Desktop Underwriter,09-29-2025,NA,funded,30 Year Conventional
10004501,Jan 23 2024,2024-01-25, 4.5 ,77.27,79.37, 37.5 ,774, DU ,2024-03-14,N/A,FUNDED,VA
10011501,2025-08-07,20250916,0.0584, 74.6 ,0.7129, 27.6 ,832,LPA,Oct 19 2025,N/A,funded,30 Year Conventional
10002943,2026-01-09,20260222,6.971%,61.71,55.47,0.3948,790, LPA ,03/15/26,N/A,Funded,Conventional 30YR
10012592,08-05-2025,20250910,6.10%,64.53%,57.60%, 32.6 ,758,manual underwriting,2025-10-29,,Fund,FHA
10029552,Dec 17 2023,01/23/24,0.0464,53.32%,45.52,32.89,724,DU,2024-02-25,,funded,Conv 30
10006873,2025-01-19,Feb 26 2025,5.57,102.2,115.00%,32.38,793, DU ,2025-03-31,N/A,FUNDED,30 Year Conventional
10007398,02/27/2026,20260303,4.88, 95.1 ,87.31%,45.85,679,Desktop Underwriter,03/30/26,N/A,Closed/Funded,Conv 30yr
10026770,20230228,03/08/23,6.340%, 72.7 ,89.463%,0.5356,650,Loan Product Advisor,,2023-04-29,DENY,Conv 30yr
10044437,Jun 18 2025,2025-06-19,5.825%,105.0,115.0,0.5493,719, LPA ,N/A,Aug 06 2025,denied, conventional 30 
10039102,01/19/26,2026-02-13,6.54, 64.9 ,66.9,36.61,683,Desktop Underwriter,03-29-2026,,Fund,Conv 30yr
10041672,20250208,03/22/2025, 6.1 ,89.2, 88.1 , 36.0 ,739,du,20250407,N/A,FUNDED,Conv 30yr
10023404,Aug 22 2024,08-28-2024,0.0458,66.33,72.79%,63.15,695,manual,11/22/24,N/A,Closed/Funded, conventional 30 
10037370,06-29-2023,2023-07-28, 5.5 ,0.6578,68.27%,24.71%,674,D.U.,2023-09-21,,,CONV30
10042944,20230413,Apr 30 2023,5.65%,0.5089,50.67%,0.2951,722,Loan Product Advisor,05/31/2023,None,Closed/Funded,30YR FHA
10010982,20230629,07-09-2023,8.4, 71.9 ,83.26%,32.1,795,LPA,09-18-2023,N/A,Fund,30yr fixed
10005021,20240802,20240807,5.652%,76.91,92.01,44.987%,675,lpa,Oct 06 2024,,,CONV30
10014829,Apr 13 2026,05/24/2026,0.078,0.7646,79.362%,31.55%,775,du,,07/24/2026,CANCELLED,30yr fixed
10009827,05/15/26,2026-06-27,0.0605,58.802%,61.384%,38.0,672,DU,08/30/2026,NULL,Funded,30yr jumbo
10038297,2023-10-21,10/23/2023,0.0767,0.7492,84.52%, 51.3 ,,Loan Prospector,Jan 04 2024,None,Fund,FHA30
10037919,20251029,11/02/2025,0.0701,94.27,97.504%, 35.0 ,737,DU,11-15-2025,NA,funded,15 Year Conventional
10035351,NULL,2024-06-11,0.0546,72.26,0.8434,N/A,767,DU,N/A,2024-06-28,Cancelled, conventional 30 
10011108,NULL,Dec 03 2024,5.26,91.0,98.818%,34.18%,755,du,2024-12-30,N/A,Fund,JUMBO30
10045132,11/11/2024,11/13/2024,6.80%,76.55%,90.71%,0.4577,759,Manual,01/12/25,,funded,V.A.
10021422,02/16/25,2025-04-01,6.52, 68.7 ,67.42%,39.22,745, DU ,20250610,N/A,Fund, conventional 30 
10019354,08/20/2023,20231002,5.93%,97.248%,109.25%,0.3493,654,lpa,Oct 19 2023,NA,FUNDED,CONV30
10012937,Jan 30 2025,02/19/25, 6.3 , 89.6 , 81.6 ,34.37%,761,Loan Prospector,03/26/25,NULL, Funded ,CONV30
10041334,06/13/23,Jun 27 2023,0.0711,98.64%,100.66%,35.08%,730,DESKTOP UNDERWRITER,None,07/31/2023,CXL, conventional 30 
10002902,08-24-2024,20240901, 5.1 ,49.982%,0.489,26.73,696,DU,2024-09-11,NA,funded,CONV30
10005353,2024-03-17,2024-04-07,4.33,0.9001,0.8424,N/A,790, DU ,,05/24/2024, WITHDRAWN ,FHA 30YR
10020583,2024-05-27,06/19/24,7.11%,72.39,84.37,22.79%,774,manual underwriting,20240813,, Funded ,Conv 30yr
10003629,02-08-2026,03-02-2026,5.133%,95.31,97.47,25.89,676,D.U.,03/28/2026,N/A,Fund,VA30
10019434,12/16/25,2026-01-21,4.95%, 61.4 ,60.790%,50.08%,NULL,D.U.,02/16/26,N/A,funded,Non-Conforming 30
10025949,02/26/2024,2024-04-08,5.590%,82.35,82.14,47.03%,771,D.U.,2024-06-25,None,Funded,Conv 30
10043278,20230606,07/09/2023,5.69,82.174%,84.83%,28.574%,753,Loan Prospector,,Aug 25 2023,Credit Denied,Conv 30yr
10025587,08/23/2025,20250910,7.40%,84.728%,95.71,0.3136,734, DU ,N/A,20251003, WITHDRAWN ,30 Year Conventional
10041676,Jun 14 2025,07-21-2025, 5.8 ,55.03,40.80%,31.682%,729,DU,20250808,None,FUNDED,Conv 30
10009862,01/01/23,Jan 18 2023,5.94%,58.65%,67.17,44.14%,751, DU ,03/06/2023,N/A,Closed/Funded, conventional 30 
10004202,Jun 20 2025,07/15/25,0.0475,90.68%,-5,45.594%,NA,DESKTOP UNDERWRITER,08/14/2025,NA, Funded ,Jumbo 30YR
10011824,20230922,Nov 05 2023,4.99%,80.5,84.99,26.55,787,Desktop Underwriter,01-07-2024,NA,FUNDED,VA30
10020726,01/03/24,20240104,5.78,65.63,67.33,28.30%,768, DU ,20240316,NULL, Funded ,Conventional 15YR
10024608,Jun 02 2024,20240717,4.976%,99.58,0.9272, 27.7 ,643,LPA,Sep 05 2024,,FUNDED,Conv 30yr
10035943,2024-11-28,01/12/25,5.40%,97.54%,96.19,32.89,796,DESKTOP UNDERWRITER,02/12/2025,,Fund,FHA 30YR
10038875,20250320,04/16/2025,0.0538,85.94%,0.9558,28.241%,699,du,,2025-04-21,Credit Denied,15yr fixed
10035679,2026-06-03,06/21/2026,5.53%,51.48%,0.4939,37.667%,765,Loan Prospector,07/20/2026,NA,FUNDED,Jumbo
10033750,04-04-2023,04/14/2023,6.883%,54.521%,56.17,16.51,758, LPA ,Jul 12 2023,,FUNDED,Conv 30yr
10006536,Jul 13 2024,07-17-2024,6.086%,87.30%,0.8897,42.15,765, DU ,09/30/24,NULL,Funded,15 Year Conventional
10025901,03/08/2023,03/16/2023,6.03,0.5458,0.5645,51.704%,744,lpa,2023-04-16,,Closed/Funded,Conv 30
10039109,2024-04-07,Apr 11 2024,5.68,0.9494,102.11,37.22%,785,DESKTOP UNDERWRITER,06/23/24,NA, Funded ,Conventional 15YR
10042868,02-04-2023,02/15/2023, 4.6 ,0.7858, 84.2 ,31.934%,707,du,NULL,2023-02-27,W/D,Non-Conforming 30
10034790,06-19-2024,06/30/24,0.07, 68.4 , 66.9 ,44.44,588,DESKTOP UNDERWRITER,NULL,07/22/24,Lock Expired,FHA
10002241,Mar 12 2025,Mar 26 2025,5.55,82.12,0.9501,28.565%,727,lpa,NA,05/19/25, WITHDRAWN ,Conv 30yr
10030027,2025-05-01,05/17/2025, 5.9 ,1.05,97.04,38.28%,722, LPA ,,06/18/2025,CANCELLED,Conventional 30YR
10016179,09-24-2024,2024-10-20,5.45,0.874,93.27%,38.71,795,du,2024-12-16,,FUNDED,CONV30
10032057,2024-05-13,06/08/24,4.81%,48.244%,47.16%,45.00%,787,DESKTOP UNDERWRITER,,20240701,Withdraw,Conv 30yr
10040071,06-22-2026,20260719,0.0332,84.67,0.8188,25.92%,707,D.U.,NULL,09/07/2026,Canceled,Conv 30
10023407,Dec 08 2023,2023-12-23,6.551%,91.84, 93.7 , 38.7 ,850,NA,02/21/24,NA,Fund, conventional 30 
10034355,04-24-2025,04-30-2025, 6.4 ,105.0,101.13,44.076%,623, DU ,20250711,N/A,Fund,Non-Conforming 30
10016471,10-17-2023,11/26/23,5.99%,95.43%,92.88, 42.3 ,664,du,None,01/07/24,CANCELLED,Conventional 15YR
10013624,20241125,20241225,5.57, 78.2 ,84.73%,33.92,779,Desktop Underwriter,02/09/2025,NA,funded,FHA30
10002238,20250227,Mar 02 2025,7.512%,0.6031,0.5796,26.12,700,Loan Product Advisor,2025-05-07,N/A, Funded ,VA
10022280,07-17-2025,08/10/2025,0.0701,60.51,60.94,,760,du,Nov 01 2025,,funded,Conventional 30YR
10011445,08/17/23,20230831,0.0669, 59.6 , 66.1 ,37.64,791,LPA,Nov 24 2023,NULL,Closed/Funded,30 Year Conventional
10006903,01/12/25,02/02/25,5.50%, 69.7 ,83.36%,22.43,748,lpa,Apr 26 2025,NULL,Closed/Funded,CONV30
10045701,05/06/2023,20230619,0.0478,55.30%,0.6236,36.431%,782,lpa,07/15/2023,NA,Fund,CONV30
10033151,04-06-2023,May 09 2023,5.82,0.7427,82.22,35.47,789,du,08/05/23,None,Funded,30yr fixed
10022776,05/03/2026,05/11/2026,5.55,73.03,0.6949,0.4387,592,manual,2026-06-20,NA,Funded,CONV15
10025687,20260425,Apr 27 2026,7.990%,72.11, 72.4 ,45.34%,626,DESKTOP UNDERWRITER,,2026-07-07,W/D,Conv 30
10006275,Feb 09 2026,Mar 13 2026,0.0571,57.581%, 63.7 ,34.553%,822,Loan Product Advisor,20260522,None,NULL,30 Year VA
10018462,09/20/2025,10-11-2025, 5.2 ,0.6672, 71.4 ,21.49,669,LP,01/06/2026,N/A,Funded,CONV30
10021340,01/02/2025,20250115,0.0721,0.8944,86.227%,48.74,784,lpa,20250215,,Fund,Conv 30yr
10011563,09/02/2025,09-30-2025,6.41,62.06, 71.8 ,33.334%,691,DESKTOP UNDERWRITER,11/24/2025,NA, Funded ,F.H.A.
10004204,02/25/23,2023-03-11,5.53,0.857,90.056%,0.2679,810,DESKTOP UNDERWRITER,05/26/23,N/A,funded,VA
10047783,20230616,NA,5.71%, 79.2 ,77.095%,34.883%,743,du,08-21-2023,NA,Fund,30 Year VA
10036880,10-16-2024,2024-10-27,7.9,81.47, 85.7 ,0.2706,645,D.U.,None,12/14/24,Credit Denied, conventional 30 
10038917,Nov 26 2023,12/08/2023,7.2,76.59%,73.82,20.7,754,DU,Jan 23 2024,,Funded,F.H.A.
10018113,02/17/2024,03/13/24,6.74%,93.06%,0.9556, 45.7 ,744,du,05/29/2024,,Fund,CONV30
10046786,20230929,10-09-2023, 6.9 ,0.8768, 99.8 , 33.4 ,754,DESKTOP UNDERWRITER,12-04-2023,NULL,,CONV30
10017475,04-11-2023,20230430, 6.8 ,92.9,97.135%,0.371,620,DU,2023-06-27,N/A,Funded,CONV30
10012348,Nov 08 2024,11-18-2024,0.0598,82.60%,89.49, 44.2 ,759,DESKTOP UNDERWRITER,20250115,N/A,funded,Conventional 30YR
10045022,20250206,20250323, 5.6 ,67.840%,70.95%,13.81,742,Desktop Underwriter,2025-05-26,NA, Funded ,VA30
10041648,Oct 02 2024,11/06/2024,5.29%,64.929%,69.29,38.298%,733,du,Jan 27 2025,None, Funded ,30yr fixed
10030883,11/11/2024,12/13/24,5.92,0.8729,97.06,24.06%,702,Desktop Underwriter,,Dec 22 2024,Expired,F.H.A.
10049486,2025-02-27,Mar 29 2025,0.0509, 105.0 , 108.3 ,41.59,733,LPA,2025-06-22,N/A,Closed/Funded,30YR FHA
10028580,Aug 29 2024,09/16/2024,5.98,0.6096,56.159%,35.365%,756,LP,11/13/24,N/A,Closed/Funded,Conventional 30YR
10045912,20250720,07-22-2025,4.445%,0.6588,68.88,37.41%,743,DESKTOP UNDERWRITER,08-30-2025,None,funded,30yr fixed
10035003,20230107,02/13/2023,5.15,78.248%,79.47,40.52,636,DESKTOP UNDERWRITER,03/01/23,NA,Funded,30 Year Conventional
10013006,03-15-2026,03/20/26,6.17%,103.85%,105.54%, 40.0 ,731,lpa,06/11/2026,,funded,Non-Conforming 30
10014958,03/07/24,03-22-2024,7.04,75.212%,69.728%,18.33%,703,DU,N/A,04-25-2024, WITHDRAWN , conventional 30 
10047922,04/27/2023,2023-05-24, 9.4 ,61.02%,,0.3909,642,DESKTOP UNDERWRITER,07-06-2023,None,FUNDED,Conventional 15YR
10000492,Aug 18 2024,08-25-2024, 6.4 ,94.443%,97.729%,42.718%,651,Loan Product Advisor,,09-06-2024,withdrawn,Conventional 30YR
10031121,2025-09-26,20251029, 7.0 ,89.12%, 92.7 ,38.39,779,DU,12/16/25,NULL,Funded,Conv 30yr
10020353,2023-06-10,20230521,5.595%,71.008%,77.62,35.384%,762,DESKTOP UNDERWRITER,Jun 11 2023,,funded,VA 30YR
10016931,Oct 18 2023,11-09-2023,0.0663,67.47,74.87,0.338,740,Loan Product Advisor,NULL,2023-11-21,NA,Conventional 30YR
10028899,01/09/2026,2026-01-25,5.496%,92.48,96.542%,44.917%,684,Loan Product Advisor,,03-25-2026,WD,Conv 30yr
10040585,2023-08-20,Oct 01 2023, 6.1 ,81.88,78.568%,30.29,722,DESKTOP UNDERWRITER,2023-10-11,None,Fund, conventional 30 
10011025,04/08/2025,May 12 2025,5.6,80.1,81.73,21.440%,828,Loan Product Advisor,06/08/2025,,Funded,30 Year Conventional
10038290,11/15/2024,12-05-2024,7.4, 61.0 , 69.0 ,32.850%,793, LPA ,01/05/25,NA,Closed/Funded,15yr fixed
10043660,20240625,07/24/2024,0.0569,76.67%, 78.7 ,20.34,745,Manual,20240913,,Funded, conventional 30 
10013127,2024-01-01,02/14/24,0.0667,0.585,50.81,forty five,739, DU ,NULL,04-22-2024,EXP,Non-Conforming 30
10026264,01/12/24,2024-02-02,7.28,52.52%,65.38,forty five,629,DU,02-17-2024,N/A,funded,Conv 30
10032667,10-20-2023,12/01/2023,7.00%,65.60%,0.6841, 42.9 ,762,du,N/A,01/13/24,CXL,30 Year Conventional
10031833,Nov 16 2024,2024-12-21,6.45,60.120%,55.62,0.3139,706,DESKTOP UNDERWRITER,02/01/25,, Funded ,Conv 30
10025661,2023-05-06,20230613, 5.0 , 100.1 ,1.1061,0.3298,807,Desktop Underwriter,08-20-2023,N/A,funded,FHA 30YR
10035492,20230824,10/08/2023, 6.8 ,53.347%,67.53,42.07%,672,DESKTOP UNDERWRITER,,10/28/2023,Withdrawn,Conv 30yr
10031005,Aug 21 2025,09-10-2025,6.28,55.258%,72.07,29.94,820,D.U.,NULL,10/25/2025, WITHDRAWN ,Conventional 30YR
10037092,09/12/2024,10/13/24,0.048, 62.1 ,67.697%,32.02%,833,Desktop Underwriter,20241120,N/A,funded,30 Year Conventional
10018118,Jan 27 2024,2024-03-11,5.34, 90.8 ,0.9652,54.686%,815,DU,03/03/24,NULL, Funded ,F.H.A.
10035353,02/13/25,2025-03-11, 6.4 ,84.94,98.21%,0.307,723,du,2025-05-17,N/A,Funded, conventional 30 
10042154,20230403,04/07/2023, 4.9 ,68.672%,71.68,14.671%,653,Loan Product Advisor,20230629,N/A, Funded ,30yr fixed
10007719,Sep 03 2025,20250911,5.71,85.7,90.02,40.813%,698,Desktop Underwriter,10-26-2025,NA,FUNDED,30yr fixed
10049031,10-29-2025,11/15/25,0.0732,60.12,61.51,51.38,618,du,N/A,20251223,Withdraw,VA
10038701,06/28/24,2024-07-02,4.89,75.5,81.89, 54.7 ,780,DESKTOP UNDERWRITER,2024-07-22,,Funded,CONV15
10019053,06/02/2026,20260709,5.75%,59.975%, 63.2 , 39.3 ,734,Man UW,20260819,, Funded ,Jumbo
10002719,2024-12-24,02-01-2025,7.62,84.68,0.953,51.77%,743,du,03-07-2025,,Fund,Conv 30
10042984,01/22/24,Feb 04 2024,4.49,57.8,0.567,46.34%,733,manual underwriting,,03/22/2024,Denied,Conv 30yr
10007558,20240811,08/13/2024,6.18,79.96,0.8627, 49.4 ,702, DU ,Oct 29 2024,None,Closed/Funded,F.H.A.
10005727,20250612,Jun 18 2025,7.38, 70.9 ,77.98%, 44.7 ,820,D.U.,2025-08-02,NA,FUNDED,Conv 30
10022013,20251016,2025-11-13,4.82,83.614%,87.68,34.761%,732,Desktop Underwriter,12-02-2025,,funded,VA
10012158,Jun 05 2025,06/19/2025,5.48%,84.45%,0.9298,0.1594,763,manual underwriting,07-12-2025,N/A,Funded,Conv 30
10029624,08-16-2024,Aug 31 2024,6.31,74.45,0.7835,0.393,728, DU ,11/07/2024,,Funded,Jumbo 30YR
10007871,2025-10-29,20251211, 7.0 , 72.3 ,0.7384,38.48,708,du,01/18/2026,NULL, Funded ,30yr fixed
10049193,Jan 10 2024,Jan 12 2024,7.086%,95.94%, 105.5 ,24.246%,717,du,N/A,NULL, Funded ,VA
10018740,2023-12-24,2024-02-02,5.07,97.88,1.0426,39.43,670,du,2024-02-22,, Funded ,CONV15
10004365,01-26-2026,02/22/2026,0.06,0.7215,0.6915, 20.2 ,793,du,NA,05/07/2026,cancel,Conv 30yr
10047548,20250908,10/06/25,4.47,83.5,90.1,31.15%,689,Loan Prospector,2025-11-20,,Fund,30 Year Conventional
10019714,May 13 2026,Jun 08 2026,5.77,52.32,51.78,0.4979,641,manual underwriting,07-01-2026,NULL,Closed/Funded,Conv 30yr
10033036,2023-05-02,05/22/23,5.76%,80.99%,88.08,45.21,733,Manual,NA,20230531,Withdraw,Jumbo 30YR
10042426,Apr 20 2023,06-01-2023,6.80%,56.190%,64.13%,0.2884,NA,DU,20230829,None,funded,30 Year Conventional
10042099,2023-04-19,04/25/23,6.499%,75.27,70.68,39.07,693,DU,,07/01/2023,Expired,Conventional 30YR
10034720,01/23/2025,02/15/25,6.155%,70.42,63.77,0.4259,720,DU,03/18/2025,,FUNDED,Conv 15
10035333,03/17/2024,04/20/2024,4.19%,90.35%,81.07,37.05,706,Desktop Underwriter,NA,20240423,CXL,30yr fixed
10005171,03-10-2025,04/21/2025,5.388%,85.69,86.92, 37.0 ,712,DESKTOP UNDERWRITER,06/05/2025,NA,Funded,Jumbo 30YR
10013603,08/15/25,2025-08-17,8.088%,66.37%,63.56, 31.6 ,708,DU,10-05-2025,NULL,funded,VA
10000792,Dec 26 2024,12/27/24,5.57, 71.6 ,67.09, 30.9 ,597,Loan Product Advisor,01/17/25,,N/A,30 Year Conventional
10030995,04-05-2023,May 17 2023,6.65,67.653%,64.25,34.102%,690,LP,07-06-2023,None,Fund,JUMBO30
10025759,01-08-2025,02-04-2025,6.80%,81.73,88.64,24.22%,768,manual underwriting,20250407,,FUNDED,Conventional 30YR
